How many movies did Stanley Kubrick direct?,SELECT COUNT(DISTINCT ?uri) WHERE {?uri <http://dbpedia.org/ontology/director> #ent  . }
List the judges of Rising Star which is also the artist of Brad Paisley discography ?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rising_Star_(U.S._TV_series)> <http://dbpedia.org/property/judges> ?uri. #ent <http://dbpedia.org/property/artist> ?uri}
Who are some people whose relation is hqed in Gold Base?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/headquarters> #ent . ?uri <http://dbpedia.org/ontology/religion> ?x  . }
Which party does Iqbal Singh and B Shiva Rao currently belong to?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Iqbal_Singh_(politician)> <http://dbpedia.org/property/party> ?uri. #ent <http://dbpedia.org/property/party> ?uri . }
In which state is the alma mater of Ben Ysursa located ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/almaMater> ?x . ?x <http://dbpedia.org/ontology/state> ?uri  . }
"What sport amongst the one Lagos Preparatory School practices, did Willian Garne play for?",SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/sport> ?uri. #ent <http://dbpedia.org/ontology/occupation> ?uri}
What are the beverages whose origin is England?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/origin> #ent }
Which current member of Insect vs Robots is also the music composer of Kenny Dies ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/currentMembers> ?uri. #ent <http://dbpedia.org/ontology/musicComposer> ?uri}
What are the television shows whose distributer is HBO?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/distributor> #ent  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/TelevisionShow>}
What is the distributing label of StandBy Records ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/distributingLabel> ?uri }
Who is the film star of On Air with Ryan Seacrest ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/starring> ?uri }
"Who have children named James Roosevelt and Franklin Delano Roosevelt, Jr.?",SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/children> #ent . ?uri <http://dbpedia.org/property/children> #ent . }
In how many different places does Canal and River Trust own its assets?,SELECT COUNT(DISTINCT ?uri) WHERE { ?x <http://dbpedia.org/ontology/owner> #ent . ?x <http://dbpedia.org/ontology/location> ?uri  . }
Count the total number of launch site of the rockets which have been launched form Cape Canaveral Air Force Station ?,SELECT COUNT(DISTINCT ?uri) WHERE { ?x <http://dbpedia.org/ontology/launchSite> #ent . ?x <http://dbpedia.org/ontology/launchSite> ?uri }
List some leaders of regions in the Indian Standard Time Zone?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/timeZone> #ent . ?x <http://dbpedia.org/ontology/leaderName> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Place>}
Name some comic characters created by Bruce Timm?,SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/creator> #ent  . }
Which university attended by Franklin W. Olin was also the alma mater of Patty Lin ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/almaMater> ?uri. #ent <http://dbpedia.org/property/education> ?uri}
Whihc associate of THomas Bryan Martin is also the founder of Pittsburgh ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/associate> ?uri. #ent <http://dbpedia.org/ontology/founder> ?uri}
Who gives the license of WXXV-DT2 ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/property/licensee> ?uri }
Count the number of sports played by schools which play hockey ?,SELECT COUNT(DISTINCT ?uri) WHERE { ?x <http://dbpedia.org/ontology/sport> #ent . ?x <http://dbpedia.org/ontology/sport> ?uri }
List the tomb of the royalties whose burial place is Little Easton ?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/placeOfBurial> #ent . ?x <http://dbpedia.org/property/placeOfBurial> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Royalty>}
What are some relatives of the people who fought in Operation Barbarossa?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/battle> #ent . ?x <http://dbpedia.org/ontology/relation> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Person>}
How many awards have been given to screenwriters?,SELECT COUNT(DISTINCT ?uri) WHERE { ?x <http://dbpedia.org/property/occupation> #ent . ?x <http://dbpedia.org/property/awards> ?uri  . }
Who is the builder of Estadio Nacional de Costa Rica (2011) ?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/builder> ?uri }
How many software run on operating system is Microsoft Windows?,SELECT COUNT(DISTINCT ?uri) WHERE {?uri <http://dbpedia.org/ontology/operatingSystem> #ent  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Software>}
What is the awards given to the horse whose grandson is the famous Counterpoint?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Counterpoint_(horse)> <http://dbpedia.org/property/grandsire> ?x . ?x <http://dbpedia.org/ontology/honours> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Horse>}
Where is the swedish covenant hospital?,SELECT DISTINCT ?uri WHERE { #ent <http://dbpedia.org/ontology/location> ?uri }
